variable,name,units,n_H,n_L,d_w1,d_w2,d_w3,t_w1,t_w2,t_w3
DGS10,10-Year Treasury Yield,pp,14,125,-0.3161087396090722,-0.3995202558635278,-0.32008854763134253,0.08230386698597682,0.02328394962509991,0.08540237141733018
T10YIE,10Y Breakeven Inflation,pp,14,125,0.19725904291169752,0.022636674259678923,0.1697172493923824,0.04264653296930099,0.002117765549828299,0.03998020998373945
SPX,S&P 500,pct,14,124,-8.659171883261244,13.942146328111075,-7.503183203059894,0.08700471717843043,0.03252419111697061,0.07739493017602421
SX5E,Euro Stoxx 50,pct,14,121,-7.038359640616996,98.53917756581686,-6.988255429432746,0.006008346161792071,0.0018329341067320267,0.005966990395977137
BRENT,Brent Crude Oil (front-month futures),usd,14,124,39.101969475568076,-315.0276450504265,36.39500867884595,0.08366556976490054,0.05915928458540085,0.0781728983555696
GOLD,Gold,usd,14,124,-163.2342931061055,5877.705721476401,-107.49468979939738,0.02978677950862535,0.10350529667979322,0.019706616798536875
DXY,U.S. Dollar Index,pct,14,124,4.785176977717867,-5.906637099535131,4.778519581495273,0.13955068167037196,0.004299678682834873,0.13939993758196542
HYOAS,US High-Yield OAS,pp,14,125,0.6275556054818868,-2.6820236283898526,0.34176350747507833,0.060398898221010855,0.07935766918470451,0.034412266322028845
BBBOAS,US BBB (IG) OAS,pp,14,125,0.27926308694674085,-0.33804304102976496,0.18837050976328631,0.0542168179817045,0.027270504305022026,0.03960227795995144
