variable,name,var_L,var_H,pred_change,pct_H,pct_all
DGS2,2-Year Treasury Yield,0.0026471999999999963,0.002392857142857127,,,
DGS10,10-Year Treasury Yield,0.0020567999999999962,0.001542857142857137,-0.000416945988775725,-0.2702427705027857,-0.02094454195500596
T10YIE,10Y Breakeven Inflation,0.000489599999999997,0.00047142857142857007,-0.0001172172416398666,-0.24864263378153595,-0.024204150191123035
SPX,S&P 500,0.6969123781812868,1.1905040190943161,-0.22910292265446133,-0.19244195649902376,-0.031114770179727063
SX5E,Euro Stoxx 50,0.8450526460277041,4.3725985327789525,-0.1987362402542542,-0.04545037436307919,-0.017020527718077796
BRENT,Brent Crude Oil (front-month futures),12.76546347307815,63.12817428981985,-5.390427171766921,-0.08538861185846444,-0.030593755224028102
GOLD,Gold,5372.217868840502,9294.881244438035,-47.02334829658793,-0.005059058535548933,-0.0008267495151582195
DXY,U.S. Dollar Index,0.09813148123109787,0.21368950145470725,-0.09292365169203268,-0.434853612645675,-0.08581364380066218
HYOAS,US High-Yield OAS,0.001871999999999999,0.008721428571428554,-0.0004753252710678751,-0.054500850081492754,-0.01868731759323296
BBBOAS,US BBB (IG) OAS,9.439999999999967e-05,0.0004785714285714269,-0.000144399388589434,-0.30173006570926614,-0.1092752129865991
