variable,name,units,n_H,n_L,d_w1,d_w2,d_w3,t_w1,t_w2,t_w3
DGS2,2-Year Treasury Yield,pp,14,124,0.007935811473306811,-0.06393539848579916,0.007886905312481523,0.10344389506437544,0.021747383821284952,0.10284139577367599
DGS10,10-Year Treasury Yield,pp,14,124,-0.005054625199208269,0.2033380418225263,-0.004965925924552375,0.1148418419438597,0.09533252395792442,0.1128506002878925
T10YIE,10Y Breakeven Inflation,pp,14,124,0.007617160525864109,-0.004925177835941463,0.007615334216770174,0.36512946992914846,0.002849083652460685,0.3650685056513905
SPX,S&P 500,pct,14,124,-0.8818953220286074,-1.1113264707409807,-0.8887064853578874,1.0185393414617607,0.22450757600722504,1.0419892388512748
SX5E,Euro Stoxx 50,pct,14,121,-2.3626017013129244,-2.966416977793246,-2.3912078163191604,2.673513171463126,0.7485840280448676,2.7723514724163065
GOLD,Gold,usd,14,124,-94.92729514090945,-82.05042520800654,-86.81989145864785,0.5557077850668072,0.6262420414002352,0.8351122951865739
DXY,U.S. Dollar Index,pct,14,124,0.39183540311779114,0.5855814646780955,0.5529104343009441,0.42830037260055387,1.4212314108574529,1.4717518521168338
HYOAS,US High-Yield OAS,pp,14,124,0.11526995372351323,0.11794784695869562,0.11707257054272961,1.7514703358387702,2.571910083119911,3.111471571265846
BBBOAS,US BBB (IG) OAS,pp,14,124,0.02279310408634328,0.03340035019816537,0.02600144664701142,0.9557175280055393,0.9222183956818679,1.3053928471530092
