variable,name,var_L,var_H,pred_change,pct_H,pct_all
DGS2,2-Year Treasury Yield,0.0026471999999999963,0.002392857142857127,3.132725571229725e-05,0.013091987461855654,0.0012035718440509395
DGS10,10-Year Treasury Yield,0.0020567999999999962,0.001542857142857137,1.2419656155909736e-05,0.008049777138089674,0.0006238793906807918
T10YIE,10Y Breakeven Inflation,0.000489599999999997,0.00047142857142857007,2.920700564389291e-05,0.06195425439613665,0.00603094511820801
SPX,S&P 500,0.6969123781812868,1.1905040190943161,0.3977642957496097,0.3341141981630701,0.05402089377365299
SX5E,Euro Stoxx 50,0.8450526460277041,4.3725985327789525,2.879676760875809,0.6585733264301457,0.2466264736863562
BRENT,Brent Crude Oil (front-month futures),12.76546347307815,63.12817428981985,,,
GOLD,Gold,5372.217868840502,9294.881244438035,3796.1868062948756,0.40841692394579826,0.06674334591741633
DXY,U.S. Dollar Index,0.09813148123109787,0.21368950145470725,0.1539638172299824,0.7205024869348386,0.14218335084109468
HYOAS,US High-Yield OAS,0.001871999999999999,0.008721428571428554,0.006902706483309809,0.7914651168414211,0.27137851942245833
BBBOAS,US BBB (IG) OAS,9.439999999999967e-05,0.0004785714285714269,0.00034048981184900537,0.7114712486397152,0.25766796572357253
